,LABORATORIO DE CALIDAD DEL AIRE,,,,,Código  F-PSEA-03                   
,,,,,,Versión: 01
,"FORMATO DE REGISTRO DE PLANIFICACION DE RONDA 
DE ENSAYO DE APTITUD PARA GASES CONTAMINANETS CRITERIO",,,,,
,,,,,,Página 1 de 1
,,,,,,
,Campo,,,,Descripción,
,Código del EA,,,,,
,Nombre del EA,,,,,
,Fecha de planificación,,,,,
,Fecha estimada de ejecución,,,,,
,Responsable de la planificación,,,,,
,,,,,,
,,,,,,
,,,,,,
,Punto de Planificación (ISO/IEC 17043: 7.2.1.3),,,,Información Específica del Protocolo CALAIRE,
,a) Personal involucrado,,,,,
,b) Actividades de proveedores externos,,,,,
,c) Criterios de participación,,,,,
,d) Número y tipo de participantes,,,,,
,e) Actividades y resultados a informar,,,,,
,f) Rango de valores esperados,,,,,
,g) Principales fuentes de error,,,,,
,h) Requisitos de producción y control de ítems,,,,,
,i) Disposiciones para colusión/falsificación,,,,,
,j) Información y cronograma,,,,,
,k) Frecuencia y fechas límite (EA continuos),,,,,
,l) Métodos y procedimientos para participantes,,,,,
,m) Procedimientos de homogeneidad y estabilidad,,,,,
,n) Formatos normalizados de informe (participantes),,,,,
,q) Tratamiento de resultados por métodos diferentes,,,,,
,t) Grado de divulgación pública,,,,,
,u) Procedimientos en caso de ítems dañados/perdidos,,,,,